Background

Energy(keV), Phot/Decay,    Nuclide, Decay_Mode
   1133.660, 2.480e-03,     Bi-214, Beta- 
    163.358, 2.388e-03,      U-235, Alpha 
    205.309, 2.355e-03,      U-235, Alpha 
     98.434, 2.300e-03,    Pa-234m, U X-Ray
   1599.310, 2.300e-03,     Bi-214, Beta- 
    321.646, 2.260e-03,     Ac-228, Beta- 
     89.807, 2.220e-03,     Bi-214, Po X-Ray
    462.000, 2.210e-03,     Pb-214, Beta- 
   1873.160, 2.190e-03,     Bi-214, Beta- 
   1683.990, 2.160e-03,     Bi-214, Beta- 
     83.787, 2.130e-03,     Ra-224, Rn X-Ray
    478.400, 2.090e-03,     Ac-228, Beta- 
    546.450, 2.010e-03,     Ac-228, Beta- 
   1033.248, 2.010e-03,     Ac-228, Beta- 
   1543.320, 2.000e-03,     Bi-214, Beta- 
     81.069, 1.920e-03,     Ra-226, Rn X-Ray
    533.660, 1.860e-03,     Pb-214, Beta- 
    323.871, 1.848e-03,     Ra-223, Alpha 
    503.823, 1.820e-03,     Ac-228, Beta- 
    570.880, 1.820e-03,     Ac-228, Beta- 
    108.422, 1.800e-03,     Th-234, Pa X-Ray
   1557.100, 1.780e-03,     Ac-228, Beta- 
   1666.523, 1.780e-03,     Ac-228, Beta- 
    404.853, 1.778e-03,     Pb-211, Beta- 
    701.747, 1.730e-03,     Ac-228, Beta- 
    405.740, 1.700e-03,     Bi-214, Beta- 
     90.074, 1.700e-03,     Pb-214, Bi X-Ray
    952.120, 1.666e-03,     Bi-212, Beta- 
    832.010, 1.656e-03,     Pb-211, Beta- 
    278.700, 1.600e-03,     Ac-228, Beta- 
   1895.920, 1.600e-03,     Bi-214, Beta- 
    145.849, 1.580e-03,     Ac-228, Beta- 
    821.180, 1.580e-03,     Bi-214, Beta- 
     88.471, 1.576e-03,     Th-227, Ra X-Ray
    707.410, 1.550e-03,     Ac-228, Beta- 
    144.232, 1.513e-03,     Ra-223, Alpha 
     84.450, 1.502e-03,     Tl-208, Pb X-Ray
    572.290, 1.500e-03,     Ac-228, Beta- 
    273.800, 1.500e-03,     Bi-214, Beta- 
     94.654, 1.430e-03,    Pa-234m, U X-Ray
    415.200, 1.429e-03,     Pb-212, Beta- 
   1093.900, 1.425e-03,     Tl-208, Beta- 
     94.247, 1.415e-03,     Ra-223, Rn X-Ray
    327.960, 1.390e-03,     Bi-212, Alpha 
   1153.520, 1.390e-03,     Ac-228, Beta- 
   1065.190, 1.320e-03,     Ac-228, Beta- 
    338.281, 1.314e-03,     Ra-223, Alpha 
    131.613, 1.305e-03,     Th-228, Alpha 
     72.873, 1.300e-03,     Bi-212, Tl X-Ray
    752.840, 1.300e-03,     Bi-214, Beta- 
   1095.679, 1.290e-03,     Ac-228, Beta- 
    469.760, 1.290e-03,     Bi-214, Beta- 
     81.069, 1.280e-03,     Ra-224, Rn X-Ray
