 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> January 10, 2023 
 ==================================================================

 Disk File Name = SR_OUTPUT.txt

 Ion = Praseodymium [59] , Mass = 147.9221 amu

 Density =  1.6422E-04 g/cm3 = 2.4707E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Praseodymium [59] , Mass = 147.9221 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  60.00 MeV   6.209E+01  8.088E-01  113.51 mm     3.14 mm     2.74 mm  
  65.00 MeV   6.437E+01  7.592E-01  118.26 mm     3.21 mm     2.77 mm  
  70.00 MeV   6.650E+01  7.158E-01  122.86 mm     3.28 mm     2.80 mm  
  80.00 MeV   7.040E+01  6.435E-01  131.66 mm     3.52 mm     2.84 mm  
  90.00 MeV   7.387E+01  5.855E-01  140.03 mm     3.72 mm     2.88 mm  
 100.00 MeV   7.700E+01  5.378E-01  148.04 mm     3.89 mm     2.92 mm  
 110.00 MeV   7.983E+01  4.978E-01  155.75 mm     4.05 mm     2.95 mm  
 120.00 MeV   8.238E+01  4.638E-01  163.21 mm     4.19 mm     2.97 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.6421E-03                eV/Angstrom 
  1.6421E-02                keV/micron   
  1.6421E-02                MeV/mm       
  1.0000E+00                keV/(ug/cm2) 
  1.0000E+00                MeV/(mg/cm2) 
  1.0000E+03                keV/(mg/cm2) 
  6.6464E+00                 eV/(1E15 atoms/cm2)
  2.7975E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2006 by J.P. Biersack and J.F. Ziegler
